num_epochs,activation_function,hidden_size,param_mean,param_std,delta,gamma,train_accuracy,train loss,validation_accuracy,validation_loss,bound,train_loss
75,Tanh,[5],0,0.001,0.4,0.4,91.87653333333333,,91.8272,0.27364259801172064,1.8138247613018657,0.27183540188564376
75,Tanh,[5],0,0.001,0.4,0.5,91.87653333333333,,91.8272,0.27364259801172064,1.4232686372553953,0.27183540188564376
75,Tanh,[50],0,0.1,0.05,0.1,91.24186666666667,,91.23599999999999,0.2923316604085076,6.511109331974339,0.29292076600035305
75,Tanh,[50],0,0.1,0.05,0.2,91.24186666666667,,91.23599999999999,0.2923316604085076,2.851462028110523,0.29292076600035305
75,Tanh,[50],0,0.1,0.05,0.3,91.24186666666667,,91.23599999999999,0.2923316604085076,1.741154818092991,0.29292076600035305
75,Tanh,[50],0,0.1,0.05,0.4,91.24186666666667,,91.23599999999999,0.2923316604085076,1.2267843240845384,0.29292076600035305
75,Tanh,[50],0,0.1,0.05,0.5,91.24186666666667,,91.23599999999999,0.2923316604085076,0.9420883450684069,0.29292076600035305
75,Tanh,[50],0,0.1,0.1,0.1,91.24186666666667,,91.23599999999999,0.2923316604085076,6.511098980811803,0.29292076600035305
75,Tanh,[50],0,0.1,0.1,0.2,91.24186666666667,,91.23599999999999,0.2923316604085076,2.8514378388866377,0.29292076600035305
75,Tanh,[50],0,0.1,0.1,0.3,91.24186666666667,,91.23599999999999,0.2923316604085076,1.7411139024942213,0.29292076600035305
75,Tanh,[50],0,0.1,0.1,0.4,91.24186666666667,,91.23599999999999,0.2923316604085076,1.226723609688541,0.29292076600035305
75,Tanh,[50],0,0.1,0.1,0.5,91.24186666666667,,91.23599999999999,0.2923316604085076,0.9420042800699008,0.29292076600035305
75,Tanh,[50],0,0.1,0.2,0.1,91.24186666666667,,91.23599999999999,0.2923316604085076,6.511088629632565,0.29292076600035305
75,Tanh,[50],0,0.1,0.2,0.2,91.24186666666667,,91.23599999999999,0.2923316604085076,2.8514136494496007,0.29292076600035305
75,Tanh,[50],0,0.1,0.2,0.3,91.24186666666667,,91.23599999999999,0.2923316604085076,1.7410729858638776,0.29292076600035305
75,Tanh,[50],0,0.1,0.2,0.4,91.24186666666667,,91.23599999999999,0.2923316604085076,1.2266628919217788,0.29292076600035305
75,Tanh,[50],0,0.1,0.2,0.5,91.24186666666667,,91.23599999999999,0.2923316604085076,0.9419202061232657,0.29292076600035305
75,Tanh,[50],0,0.1,0.3,0.1,91.24186666666667,,91.23599999999999,0.2923316604085076,6.5110825745731296,0.29292076600035305
75,Tanh,[50],0,0.1,0.3,0.2,91.24186666666667,,91.23599999999999,0.2923316604085076,2.851399499437207,0.29292076600035305
75,Tanh,[50],0,0.1,0.3,0.3,91.24186666666667,,91.23599999999999,0.2923316604085076,1.7410490506912306,0.29292076600035305
75,Tanh,[50],0,0.1,0.3,0.4,91.24186666666667,,91.23599999999999,0.2923316604085076,1.2266273727422794,0.29292076600035305
75,Tanh,[50],0,0.1,0.3,0.5,91.24186666666667,,91.23599999999999,0.2923316604085076,0.9418710218679546,0.29292076600035305
75,Tanh,[50],0,0.1,0.4,0.1,91.24186666666667,,91.23599999999999,0.2923316604085076,6.5110782784366235,0.29292076600035305
75,Tanh,[50],0,0.1,0.4,0.2,91.24186666666667,,91.23599999999999,0.2923316604085076,2.8513894597994063,0.29292076600035305
75,Tanh,[50],0,0.1,0.4,0.3,91.24186666666667,,91.23599999999999,0.2923316604085076,1.7410320682018816,0.29292076600035305
75,Tanh,[50],0,0.1,0.4,0.4,91.24186666666667,,91.23599999999999,0.2923316604085076,1.2266021707836898,0.29292076600035305
75,Tanh,[50],0,0.1,0.4,0.5,91.24186666666667,,91.23599999999999,0.2923316604085076,0.9418361232256436,0.29292076600035305
75,Tanh,[50],0,0.01,0.05,0.1,94.14506666666666,,94.1152,0.2214840883379583,42.4407320815106,0.21767779353866196
75,Tanh,[50],0,0.01,0.05,0.2,94.14506666666666,,94.1152,0.2214840883379583,19.456138956922487,0.21767779353866196
75,Tanh,[50],0,0.01,0.05,0.3,94.14506666666666,,94.1152,0.2214840883379583,12.25364163587722,0.21767779353866196
75,Tanh,[50],0,0.01,0.05,0.4,94.14506666666666,,94.1152,0.2214840883379583,8.810972520318353,0.21767779353866196
75,Tanh,[50],0,0.01,0.05,0.5,94.14506666666666,,94.1152,0.2214840883379583,6.829248247486381,0.21767779353866196
75,Tanh,[50],0,0.01,0.1,0.1,94.14506666666666,,94.1152,0.2214840883379583,42.440730514379744,0.21767779353866196
75,Tanh,[50],0,0.01,0.1,0.2,94.14506666666666,,94.1152,0.2214840883379583,19.456135529504646,0.21767779353866196
