num_epochs,activation_function,hidden_size,param_mean,param_std,delta,gamma,train_accuracy,train loss,validation_accuracy,validation_loss,bound,train_loss
75,Tanh,[5],0,0.1,0.2,0.5,94.16106666666667,,94.0832,0.20467241864914537,1.829451646679505,0.20381148192306833
75,Tanh,[5],0,0.1,0.3,0.1,94.16106666666667,,94.0832,0.20467241864914537,12.093705473814586,0.20381148192306833
75,Tanh,[5],0,0.1,0.3,0.2,94.16106666666667,,94.0832,0.20467241864914537,5.386386144973983,0.20381148192306833
75,Tanh,[5],0,0.1,0.3,0.3,94.16106666666667,,94.0832,0.20467241864914537,3.327929345731108,0.20381148192306833
75,Tanh,[5],0,0.1,0.3,0.4,94.16106666666667,,94.0832,0.20467241864914537,2.365851764352773,0.20381148192306833
75,Tanh,[5],0,0.1,0.3,0.5,94.16106666666667,,94.0832,0.20467241864914537,1.8294284544628565,0.20381148192306833
75,Tanh,[5],0,0.1,0.4,0.1,94.16106666666667,,94.0832,0.20467241864914537,12.093703181782955,0.20381148192306833
75,Tanh,[5],0,0.1,0.4,0.2,94.16106666666667,,94.0832,0.20467241864914537,5.3863809485577745,0.20381148192306833
75,Tanh,[5],0,0.1,0.4,0.3,94.16106666666667,,94.0832,0.20467241864914537,3.327920806902632,0.20381148192306833
75,Tanh,[5],0,0.1,0.4,0.4,94.16106666666667,,94.0832,0.20467241864914537,2.36583947358151,0.20381148192306833
75,Tanh,[5],0,0.1,0.4,0.5,94.16106666666667,,94.0832,0.20467241864914537,1.8294119991285016,0.20381148192306833
75,Tanh,[5],0,0.01,0.05,0.1,94.46746666666667,,94.396,0.19710206764320268,11.477474733719522,0.1952761652780881
75,Tanh,[5],0,0.01,0.05,0.2,94.46746666666667,,94.396,0.19710206764320268,5.104064474999266,0.1952761652780881
75,Tanh,[5],0,0.01,0.05,0.3,94.46746666666667,,94.396,0.19710206764320268,3.1508825421436226,0.1952761652780881
75,Tanh,[5],0,0.01,0.05,0.4,94.46746666666667,,94.396,0.19710206764320268,2.241741316277336,0.1952761652780881
75,Tanh,[5],0,0.01,0.05,0.5,94.46746666666667,,94.396,0.19710206764320268,1.7366736833356526,0.1952761652780881
75,Tanh,[5],0,0.01,0.1,0.1,94.46746666666667,,94.396,0.19710206764320268,11.477468914149458,0.1952761652780881
75,Tanh,[5],0,0.01,0.1,0.2,94.46746666666667,,94.396,0.19710206764320268,5.104051253499398,0.1952761652780881
75,Tanh,[5],0,0.01,0.1,0.3,94.46746666666667,,94.396,0.19710206764320268,3.1508607754062696,0.1952761652780881
75,Tanh,[5],0,0.01,0.1,0.4,94.46746666666667,,94.396,0.19710206764320268,2.2417099266766254,0.1952761652780881
75,Tanh,[5],0,0.01,0.1,0.5,94.46746666666667,,94.396,0.19710206764320268,1.7366315763484643,0.1952761652780881
75,Tanh,[5],0,0.01,0.2,0.1,94.46746666666667,,94.396,0.19710206764320268,11.477463094576429,0.1952761652780881
75,Tanh,[5],0,0.01,0.2,0.2,94.46746666666667,,94.396,0.19710206764320268,5.104038031964723,0.1952761652780881
75,Tanh,[5],0,0.01,0.2,0.3,94.46746666666667,,94.396,0.19710206764320268,3.1508390085136058,0.1952761652780881
75,Tanh,[5],0,0.01,0.2,0.4,94.46746666666667,,94.396,0.19710206764320268,2.2416785366101313,0.1952761652780881
75,Tanh,[5],0,0.01,0.2,0.5,94.46746666666667,,94.396,0.19710206764320268,1.7365894682369374,0.1952761652780881
75,Tanh,[5],0,0.01,0.3,0.1,94.46746666666667,,94.396,0.19710206764320268,11.477459690343059,0.1952761652780881
75,Tanh,[5],0,0.01,0.3,0.2,94.46746666666667,,94.396,0.19710206764320268,5.1040302978466014,0.1952761652780881
75,Tanh,[5],0,0.01,0.3,0.3,94.46746666666667,,94.396,0.19710206764320268,3.150826275625641,0.1952761652780881
75,Tanh,[5],0,0.01,0.3,0.4,94.46746666666667,,94.396,0.19710206764320268,2.241660174382404,0.1952761652780881
75,Tanh,[5],0,0.01,0.3,0.5,94.46746666666667,,94.396,0.19710206764320268,1.7365648360494703,0.1952761652780881
75,Tanh,[5],0,0.01,0.4,0.1,94.46746666666667,,94.396,0.19710206764320268,11.477457275000429,0.1952761652780881
75,Tanh,[5],0,0.01,0.4,0.2,94.46746666666667,,94.396,0.19710206764320268,5.104024810395242,0.1952761652780881
75,Tanh,[5],0,0.01,0.4,0.3,94.46746666666667,,94.396,0.19710206764320268,3.150817241465628,0.1952761652780881
75,Tanh,[5],0,0.01,0.4,0.4,94.46746666666667,,94.396,0.19710206764320268,2.2416471460778324,0.1952761652780881
